sample_alias	tax_id	scientific_name	common_name	anonymized_name	sample_title	sample_description	COUNTRY	tissue_type	Source	DNA_Designation	DNA_Accno_source	DNA_VARNAME	DNA_VARNAME_unicode	DNA_Othername	Genetic_Stock_Accno	Genetic_stock_Designation(varname)	Variety Group (Tree)
IRIS_313-15905	4530	Oryza sativa	rice	IRIS 313-15905	WGS sequence of Rice line IRIS 313-15905	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Ivory Coast	leaf	IRRI	WAB 56-125::G1-1		WAB 56-125	WAB 56-125		IRGC 126969	WAB 56-125::IRTP 19771-G1	Tropical japonica
IRIS_313-15906	4530	Oryza sativa	rice	IRIS 313-15906	WGS sequence of Rice line IRIS 313-15906	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 73571-3B-11-3-K2::G1-1		IR 73571-3B-11-3-K2	IR 73571-3B-11-3-K2		IRGC 126963	IR 73571-3B-11-3-K2::G1	Indica
IRIS_313-15907	4530	Oryza sativa	rice	IRIS 313-15907	WGS sequence of Rice line IRIS 313-15907	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Uruguay	leaf	IRRI	INIA TACUARI::G1-1		INIA TACUARI	INIA TACUARI		IRGC 126959	INIA TACUARI::G1	Tropical japonica
IRIS_313-15908	4530	Oryza sativa	rice	IRIS 313-15908	WGS sequence of Rice line IRIS 313-15908	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Colombia	leaf	IRRI	COLOMBIA XXI::G1-1		COLOMBIA XXI	COLOMBIA XXI		IRGC 126955	COLOMBIA XXI::G1	Basmati/sadri
IRIS_313-15909	4530	Oryza sativa	rice	IRIS 313-15909	WGS sequence of Rice line IRIS 313-15909	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."		leaf	IRRI	IET 14720::IRTP 23179-G1-1		IET 14720	IET 14720		IRGC 126958	IET 14720::IRTP 23179-G1	Tropical japonica
IRIS_313-15910	4530	Oryza sativa	rice	IRIS 313-15910	WGS sequence of Rice line IRIS 313-15910	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	United States	leaf	IRRI	CYPRESS::G1-1		CYPRESS	CYPRESS		IRGC 126956	CYPRESS::IRTP 19532-G1	Intermediate type
IRIS_313-9939	4530	Oryza sativa	rice	IRIS 313-9939	WGS sequence of Rice line IRIS 313-9939	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Suriname	leaf	IRRI	CIWINI SML::IRGC 50642-1-1	IRGC 50642	CIWINI SML	CIWINI SML		IRGC 121316	CIWINI SML::IRGC 50642-1	Basmati/sadri
IRIS_313-8712	4530	Oryza sativa	rice	IRIS 313-8712	WGS sequence of Rice line IRIS 313-8712	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	ARC 13829::IRGC 42469-1-1	IRGC 42469	ARC 13829	ARC 13829		IRGC 117426	ARC 13829	Basmati/sadri
IRIS_313-8747	4530	Oryza sativa	rice	IRIS 313-8747	WGS sequence of Rice line IRIS 313-8747	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Iran	leaf	IRRI	DOM ZARD::IRGC 12881-1-1	IRGC 12881	DOM-ZARD	DOM-ZARD		IRGC 117466	DOM ZARD	Basmati/sadri
IRIS_313-8813	4530	Oryza sativa	rice	IRIS 313-8813	WGS sequence of Rice line IRIS 313-8813	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	ARC 10497::IRGC 12485-1-1	IRGC 12485	ARC 10497	ARC 10497		IRGC 117425	ARC 10497	Basmati/sadri
IRIS_313-8814	4530	Oryza sativa	rice	IRIS 313-8814	WGS sequence of Rice line IRIS 313-8814	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bhutan	leaf	IRRI	SHANKA::IRGC 67848-1-1	IRGC 67848	SHANKA	SHANKA		IRGC 121499	SHANKA::IRGC 67848-1	Basmati/sadri
IRIS_313-9629	4530	Oryza sativa	rice	IRIS 313-9629	WGS sequence of Rice line IRIS 313-9629	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	JC 157::IRGC 9074-1-1	IRGC 9074	JC157	JC157		IRGC 117498	JC 157	Aus/boro
IRIS_313-8252	4530	Oryza sativa	rice	IRIS 313-8252	WGS sequence of Rice line IRIS 313-8252	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	JAGLI BORO::IRGC 27516-1-1	IRGC 27516	JAGLI BORO	JAGLI BORO		IRGC 121233	JAGLI BORO::IRGC 27516-2	Aus/boro
IRIS_313-8321	4530	Oryza sativa	rice	IRIS 313-8321	WGS sequence of Rice line IRIS 313-8321	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	BHADOIA 303::IRGC 6588-1-1	IRGC 6588	BHADOIA 303	BHADOIA 303		IRGC 120894	BHADOIA 303::IRGC 6588-1	Aus/boro
IRIS_313-8390	4530	Oryza sativa	rice	IRIS 313-8390	WGS sequence of Rice line IRIS 313-8390	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Pakistan	leaf	IRRI	SUFAID 246::IRGC 28303-1-1	IRGC 28303	SUFAID 246	SUFAID 246		IRGC 121128	SUFAID 246::IRGC 28303-1	Aus/boro
IRIS_313-8398	4530	Oryza sativa	rice	IRIS 313-8398	WGS sequence of Rice line IRIS 313-8398	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Pakistan	leaf	IRRI	KHARSU 80::IRGC 28016-1-1	IRGC 28016	KHARSU 80	KHARSU 80		IRGC 121022	KHARSU 80::IRGC 28016-1	Aus/boro
IRIS_313-8410	4530	Oryza sativa	rice	IRIS 313-8410	WGS sequence of Rice line IRIS 313-8410	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	JABOR SAIL::IRGC 66831-1-1	IRGC 66831	JABOR SAIL	JABOR SAIL		IRGC 121618	JABOR SAIL::IRGC 66831-1	Aus/boro
IRIS_313-8554	4530	Oryza sativa	rice	IRIS 313-8554	WGS sequence of Rice line IRIS 313-8554	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	ARC 11959::IRGC 21780-1-1	IRGC 21780	ARC 11959	ARC 11959		IRGC 121188	ARC 11959::IRGC 21780-1	Aus/boro
IRIS_313-8721	4530	Oryza sativa	rice	IRIS 313-8721	WGS sequence of Rice line IRIS 313-8721	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	HOLOI BASH (SOLOI BASH)::IRGC 64778-1-1	IRGC 64778	HOLOI BASH(SOLOI BASH)	HOLOI BASH(SOLOI BASH)		IRGC 120969	HOLOI BASH (SOLOI BASH)::IRGC 64778-1	Aus/boro
IRIS_313-8963	4530	Oryza sativa	rice	IRIS 313-8963	WGS sequence of Rice line IRIS 313-8963	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	BATHURI::IRGC 25838-1-1	IRGC 25838	BATHURI	BATHURI		IRGC 120887	BATHURI::IRGC 25838-1	Aus/boro
IRIS_313-9137	4530	Oryza sativa	rice	IRIS 313-9137	WGS sequence of Rice line IRIS 313-9137	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	ARC 10100::IRGC 20709-1-1	IRGC 20709	ARC 10100	ARC 10100		IRGC 121185	ARC 10100::IRGC 20709-1	Aus/boro
IRIS_313-9283	4530	Oryza sativa	rice	IRIS 313-9283	WGS sequence of Rice line IRIS 313-9283	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Pakistan	leaf	IRRI	TAK SUFAID::IRGC 73127-1-1	IRGC 73127	TAK SUFAID	TAK SUFAID		IRGC 121134	TAK SUFAID::IRGC 73127-1	Aus/boro
IRIS_313-9368	4530	Oryza sativa	rice	IRIS 313-9368	WGS sequence of Rice line IRIS 313-9368	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	CHANDARHAT::IRGC 25845-1-1	IRGC 25845	CHANDARHAT	CHANDARHAT		IRGC 121605	CHANDARHAT::IRGC 25845-1	Aus/boro
IRIS_313-9422	4530	Oryza sativa	rice	IRIS 313-9422	WGS sequence of Rice line IRIS 313-9422	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	CHUNGUR BALI::IRGC 25855-1-1	IRGC 25855	CHUNGUR BALI	CHUNGUR BALI		IRGC 120915	CHUNGUR BALI::IRGC 25855-1	Aus/boro
IRIS_313-9610	4530	Oryza sativa	rice	IRIS 313-9610	WGS sequence of Rice line IRIS 313-9610	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	DANGAR::IRGC 76296-1-1	IRGC 76296	DANGAR	DANGAR		IRGC 120927	DANGAR::IRGC 76296-1	Aus/boro
IRIS_313-9626	4530	Oryza sativa	rice	IRIS 313-9626	WGS sequence of Rice line IRIS 313-9626	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	KALIA::IRGC 34699-1-1	IRGC 34699	KALIA	KALIA		IRGC 121005	KALIA::IRGC 34699-1	Aus/boro
IRIS_313-9636	4530	Oryza sativa	rice	IRIS 313-9636	WGS sequence of Rice line IRIS 313-9636	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Sri Lanka	leaf	IRRI	PODI HEENATI::IRGC 36345-1-1	IRGC 36345	PODI HEENATI	PODI HEENATI		IRGC 121473	PODI HEENATI::IRGC 36345-1	Aus/boro
IRIS_313-9661	4530	Oryza sativa	rice	IRIS 313-9661	WGS sequence of Rice line IRIS 313-9661	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bangladesh	leaf	IRRI	LENJA MURALI::IRGC 66815-1-1	IRGC 66815	LENJA MURALI	LENJA MURALI		IRGC 121038	LENJA MURALI::IRGC 66815-1	Aus/boro
IRIS_313-10020	4530	Oryza sativa	rice	IRIS 313-10020	WGS sequence of Rice line IRIS 313-10020	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Sri Lanka	leaf	IRRI	HODARAWALA::IRGC 67631-1-1	IRGC 67631	HODARAWALA	HODARAWALA		IRGC 120968	HODARAWALA::IRGC 67631-1	Indica
IRIS_313-8253	4530	Oryza sativa	rice	IRIS 313-8253	WGS sequence of Rice line IRIS 313-8253	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Thailand	leaf	IRRI	KHAO DAWK MALI 105::IRGC 27748-1-1	IRGC 27748	KHAO DAWK MALI 105	KHAO DAWK MALI 105		IRGC 121235	KHAO DAWK MALI 105::IRGC 27748-2	Indica
IRIS_313-9555	4530	Oryza sativa	rice	IRIS 313-9555	WGS sequence of Rice line IRIS 313-9555	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	CHUA DAU::IRGC 4785-1-1	IRGC 4785	CHUA-DAU	CHUA-DAU		IRGC 120914	CHUA DAU::IRGC 4785-1	Indica
IRIS_313-8409	4530	Oryza sativa	rice	IRIS 313-8409	WGS sequence of Rice line IRIS 313-8409	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Vietnam	leaf	IRRI	SOM NGHE AN::IRGC 60751-1-1	IRGC 60751	SOM NGHE AN	SOM NGHE AN		IRGC 126007	SOM NGHE AN::IRGC 60751-1	Intermediate type
IRIS_313-9400	4530	Oryza sativa	rice	IRIS 313-9400	WGS sequence of Rice line IRIS 313-9400	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	India	leaf	IRRI	NCS 964 C::IRGC 62604-1-1	IRGC 62604	NCS964 C	NCS964 C		IRGC 125854	NCS 964 C::IRGC 62604-1	Indica
IRIS_313-9882	4530	Oryza sativa	rice	IRIS 313-9882	WGS sequence of Rice line IRIS 313-9882	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Taiwan	leaf	IRRI	O SATIVA::IRGC 17083-1-1	IRGC 17083	UNNAMED	UNNAMED		IRGC 125863	O. SATIVA::IRGC 17083-1	Indica
IRIS_313-9969	4530	Oryza sativa	rice	IRIS 313-9969	WGS sequence of Rice line IRIS 313-9969	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Sri Lanka	leaf	IRRI	PUTTU NELLU::IRGC 55346-1-1	IRGC 55346	PUTTU NELLU	PUTTU NELLU		IRGC 126989	PUTTU NELLU::IRGC 55346-1	Temperate japonica
IRIS_313-8399	4530	Oryza sativa	rice	IRIS 313-8399	WGS sequence of Rice line IRIS 313-8399	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	France	leaf	IRRI	68-2::IRGC 14546-1-1	IRGC 14546	Feb-68	Feb-68		IRGC 126113	68-2::IRGC 14546-1	Temperate japonica
